cord-smile,0.0200 
rooster-voyage,0.0400 
noon-string,0.0400 
glass-magician,0.4400 
monk-slave,0.5700 
coast-forest,0.8500 
shore-woodland,0.9000 
monk-oracle,0.9100 
lad-wizard,0.9900 
forest-graveyard,1.0000 
food-rooster,1.0900 
cemetery-woodland,1.1800 
coast-hill,1.2600 
car-journey,1.5500 
crane-implement,2.3700 
brother-lad,2.4100 
bird-crane,2.6300 
bird-cock,2.6300 
food-fruit,2.6900 
brother-monk,2.7400 
asylum-madhouse,3.0400 
furnace-stove,3.1100 
magician-wizard,3.2100 
journey-voyage,3.5800 
coast-shore,3.6000 
implement-tool,3.6600 
boy-lad,3.8200 
automobile-car,3.9200 
midday-noon,3.9400 
gem-jewel,3.9400 
fruit-furnace,0.0500 
autograph-shore,0.0600 
automobile-wizard,0.1100 
mound-stove,0.1400 
grin-implement,0.1800 
asylum-fruit,0.1900 
asylum-monk,0.3900 
graveyard-madhouse,0.4200 
boy-rooster,0.4400 
cushion-jewel,0.4500 
asylum-cemetery,0.7900 
grin-lad,0.8800 
boy-sage,0.9000 
automobile-cushion,0.9600 
mound-shore,0.9700 
shore-voyage,0.9700 
bird-woodland,1.1800 
furnace-implement,1.2200 
crane-rooster,1.2400 
hill-woodland,1.3700 
cemetery-mound,1.4100 
glass-jewel,1.4800 
magician-oracle,1.6900 
sage-wizard,1.7800 
oracle-sage,1.8200 
hill-mound,2.4600 
cord-string,2.6100 
glass-tumbler,3.2900 
grin-smile,3.4100 
serf-slave,3.4500 
autograph-signature,3.4600 
forest-woodland,3.4600 
cock-rooster,3.5900 
cushion-pillow,3.6500 
cemetery-graveyard,3.6800 
